"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1977264651298836877","Sun Oct 12 16:41:07 +0000 2025","3","@ImeldaTheQueen Hati hati Pak Menkeu Purbaya orang yang mempunyai integritas tinggi biasanya banyak musuhnya. Apalagi klo ada yg merasa terusik.","1977414237585863146","","ImeldaTheQueen","in","","0","0","0","https://x.com/undefined/status/1977414237585863146","1858033765454667776",
"1977400160310472776","Sun Oct 12 16:37:18 +0000 2025","0","@dhaintly Tinggi Bahlil cuma sepundak Purbaya..","1977413277090213984","","dhaintly","in","","0","0","0","https://x.com/undefined/status/1977413277090213984","1417725764154191877",
"1977411505449779678","Sun Oct 12 16:30:16 +0000 2025","6","TERMUL https://t.co/OwGGhLx2kr","1977411505449779678","","","in","","0","0","6","https://x.com/undefined/status/1977411505449779678","723531811",
"1977279757848027479","Sun Oct 12 16:23:02 +0000 2025","1","@Opposisi6890 Purbaya @Opposisi6890","1977409686271123760","","Opposisi6890","in","","0","0","0","https://x.com/undefined/status/1977409686271123760","1829823280624386051",
"1977408647543296172","Sun Oct 12 16:18:54 +0000 2025","0","kita tunggu purbaya bikin statemen gimana buat erick thohir.","1977408647543296172","","","in","","0","0","1","https://x.com/undefined/status/1977408647543296172","297832764",
"1977349700983349433","Sun Oct 12 16:11:50 +0000 2025","0","@Telkomsel Krn Makin Mahalnya Paket2 Internet dari @Telkomsel shg memberatkan Rakyat termsk saya mhn pihak @bumn_idn Menindak Pimpinan @Telkomsel yg mau Untung sendiri klu Paket bersisa lgsg HANGUS lg juga Sinyal sering Lemah dan mhn @kemenkeu Purbaya ikut Pantau hal ini.","1977406867199627773","","Telkomsel","in","","0","1","0","https://x.com/undefined/status/1977406867199627773","1682977897366298624",
"1977405977059336525","Sun Oct 12 16:08:18 +0000 2025","0","Harusnya yang lo beri label itu yang non halal... Mayoritas islam kok masakan halal di kasik label... Dah kek di negara non muslim aj #minggu #senin #kambuaya #KluivertOut #taruhan77 #guru #koruptor #purbaya https://t.co/eJ6qsryEyT","1977405977059336525","https://pbs.twimg.com/media/G3EoN2uaUAAn-Tc.png","","in","","0","0","0","https://x.com/undefined/status/1977405977059336525","1966310750361878528",
"1977404525083504691","Sun Oct 12 16:02:31 +0000 2025","0","Ternyata MBG juga bisa bikin anak-anak yang tadinya jarang ke sekolah jadi semangat ke sekolah. siapa yang gak terharu! #minggu #senin #kambuaya #KluivertOut #taruhan77 #guru #koruptor #purbaya https://t.co/KVi2hUswHM","1977404525083504691","https://pbs.twimg.com/media/G3Em6GcbMAAzSK2.jpg","","in","","0","0","0","https://x.com/undefined/status/1977404525083504691","1966310750361878528",
"1977403823544307907","Sun Oct 12 15:59:44 +0000 2025","0","Ultimatum Purbaya ke Anak Buah: Gue Sikat Lu Gak Ada Ampun! https://t.co/gmUD2mroln via @InvestorID","1977403823544307907","","","in","","0","0","0","https://x.com/undefined/status/1977403823544307907","238091066",
"1977403767084781625","Sun Oct 12 15:59:31 +0000 2025","1","Dijaman SBY sampai pak SBY selesai ndk ada namanya proSBY. Tp di jaman Jokowi sdh jelas Jokowi sdh ndk jd presiden msh ada namanya Projo. #minggu #senin #kambuaya #KluivertOut #taruhan77 #guru #koruptor #purbaya https://t.co/qWTOsmnkRB","1977403767084781625","https://pbs.twimg.com/media/G3EmOTpawAEhBf6.png","","in","","0","0","0","https://x.com/undefined/status/1977403767084781625","1966310750361878528",
