conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text,normalized_text
1971542404525445314,Fri Sep 26 11:48:33 +0000 2025,1,Sri Mulyani cuma tersenyum Hahahaha lalu UTANG BERTAMBAH GEMUK akibat Rupiah Melemah Dan jawab Purbaya Jika Kita Bisa KORUPSI RIBUAN TRILIUN masa HUTANG Ga bisa kita Bayar Hahaha Gue cuma Ucapkan Selamat KORUPSI pak purbaya agar Bisa bayar Hutang https://t.co/iNbWBLoRlg,1971542404525445314,https://pbs.twimg.com/media/G1xTXlTacAAiJpC.jpg,,in,,0,0,0,https://x.com/undefined/status/1971542404525445314,1383295518374121475,,sri mulyani cuma tersenyum hahahaha lalu utang beambah gemuk akibat rupiah melemah dan jawab purbaya jika kita bisa korupsi ribuan triliun masa hutang ga bisa kita bayar hahaha gue cuma ucapkan selamat korupsi pak purbaya agar bisa bayar hutang,sri mulyani cuma tersenyum hahahaha lalu utang beambah gemuk akibat rupiah melemah dan jawab purbaya jika kita bisa korupsi ribuan triliun masa hutang tidak bisa kita bayar hahaha gue cuma ucapkan selamat korupsi pak purbaya agar bisa bayar hutang
1971542169011048654,Fri Sep 26 11:47:37 +0000 2025,46, Kami punya daftar 200 penunggak pajak besar sudah inkrah kami mau kejar dan eksekusi sekitar Rp 50 triliun sampai Rp 60 triliun kata Menkeu Purbaya. https://t.co/BmOj7VOKg7,1971542169011048654,,,in,,1,4,9,https://x.com/undefined/status/1971542169011048654,22126902,,kami punya daftar penunggak pajak besar sudah inkrah kami mau kejar dan eksekusi sekitar rp triliun sampai rp triliun kata menkeu purbaya,kami punya daftar penunggak pajak besar sudah inkrah kami mau kejar dan eksekusi sekitar triliun sampai triliun kata menkeu purbaya
1971541735840075903,Fri Sep 26 11:45:53 +0000 2025,1,Kenaikan Gaji PNS cs Tergantung Keputusan Purbaya &amp; Kondisi Kantong Negara https://t.co/UWsEesC0an,1971541735840075903,,,in,,0,0,0,https://x.com/undefined/status/1971541735840075903,135795460,,kenaikan gaji pns cs tergantung keputusan purbaya amp kondisi kantong negara,kenaikan gaji pns tergantung keputusan purbaya amp kondisi kantong negara
1971541510576332908,Fri Sep 26 11:45:00 +0000 2025,0,Mengenal Ida Yulidina istri Menkeu Purbaya yang ternyata eks model terkenal! Gimana profil singkatnya? Cari tahu di sini: https://t.co/TEp9vLluGY,1971541510576332908,,,in,,0,1,0,https://x.com/undefined/status/1971541510576332908,125225621,,mengenal ida yulidina istri menkeu purbaya yang ternyata eks model terkenal gimana profil singkatnya cari tahu di sini,mengenal ida yulidina istri menkeu purbaya yang ternyata eks model terkenal gimana profil singkatnya cari tahu sini
1971540678422470887,Fri Sep 26 11:41:41 +0000 2025,0,Prabowo Lantik Purbaya Yudhi Sadewa Jadi Menteri Keuangan Gantikan Sri Mulyani https://t.co/c2NTjoD0RJ,1971540678422470887,,,in,,0,0,0,https://x.com/undefined/status/1971540678422470887,1934954632092229632,,prabowo lantik purbaya yudhi sadewa jadi menteri keuangan gantikan sri mulyani,prabowo lantik purbaya yudhi sadewa jadi menteri keuangan gantikan sri mulyani
1971539466486706362,Fri Sep 26 11:36:52 +0000 2025,0,Pernyataan Menteri Keuangan Purbaya Yudhi Sadewa yang menganggap cukai rokok 57 persen sangat tinggi menuai kritik. Pasalnya jika kebijakan cukai rokok diturunkan maka berpotensi memberi dampak negatif terhadap kesehatan masyarakat di Indonesia. https://t.co/x2xDatMdmo,1971539466486706362,https://pbs.twimg.com/amplify_video_thumb/1971497422980526080/img/_-nfI1tdeiwzk3PT.jpg,,in,,0,0,0,https://x.com/undefined/status/1971539466486706362,3179542928,,pernyataan menteri keuangan purbaya yudhi sadewa yang menganggap cukai rokok persen sangat tinggi menuai kritik pasalnya jika kebijakan cukai rokok diturunkan maka berpotensi memberi dampak negatif terhadap kesehatan masyarakat di indonesia,pernyataan menteri keuangan purbaya yudhi sadewa yang menganggap cukai rokok persen sangat tinggi menuai kritik pasalnya jika kebijakan cukai rokok diturunkan maka berpotensi memberi dampak negatif terhadap kesehatan masyarakat indonesia
1971539134582837391,Fri Sep 26 11:35:33 +0000 2025,0,Purbaya Bantah Instruksikan Kenaikan Suku Bunga Deposito Dolar di Himbara https://t.co/bDOJVu537E,1971539134582837391,,,in,,0,0,0,https://x.com/undefined/status/1971539134582837391,1578222594,,purbaya bantah instruksikan kenaikan suku bunga deposito dolar di himbara,purbaya bantah instruksikan kenaikan suku bunga deposito dolar himbara
1971539041532489987,Fri Sep 26 11:35:11 +0000 2025,0,5. Pesohor Tukul Arwana pernah berkata bahwa sanjungan adalah TEROR! Jangan sampe bapak purbaya @KemenkeuRI hanyut dlm sanjungan media spt yg dikerjakan pimred @mnctrijaya @gaibfiles host ujangfajri terkait sisi CEPLAS CEPLOS bapak. Waspada pak ! | @SINDOnews @officialinews_ https://t.co/FvrCBQvu73,1971539041532489987,https://pbs.twimg.com/media/G1xQT2XagAASRYV.jpg,,in,,1,0,0,https://x.com/undefined/status/1971539041532489987,218477659,,pesohor tukul arwana pernah berkata bahwa sanjungan adalah teror jangan sampe bapak purbaya hanyut dlm sanjungan media spt yg dikerjakan pimred host ujangfajri terkait sisi ceplas ceplos bapak waspada pak,pesohor tukul arwana pernah berkata bahwa sanjungan adalah teror jangan sampe bapak purbaya hanyut dalam sanjungan media spt yang dikerjakan pimred host ujangfajri terkait sisi ceplas ceplos bapak waspada pak
1971538961853272193,Fri Sep 26 11:34:52 +0000 2025,1,Purbaya Tunda Pungutan PPh Pedagang Online di Ecommerce https://t.co/wIh6TZKxUn,1971538961853272193,,,in,,1,2,2,https://x.com/undefined/status/1971538961853272193,847372542830444544,,purbaya tunda pungutan pph pedagang online di ecommerce,purbaya tunda pungutan pph pedagang online ecommerce
1971500005409403313,Fri Sep 26 11:34:18 +0000 2025,0,@ARSIPAJA Sri Mulyono di Resafel Masalah Teratasi ketika pUrbaya Muncul ...,1971538818374496614,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1971538818374496614,1577997460030398465,,sri mulyono di resafel masalah teratasi ketika purbaya muncul,sri mulyono resafel masalah teratasi ketika purbaya muncul
1971538573964046715,Fri Sep 26 11:33:20 +0000 2025,3,Wkwkkw cuci tangan. Bukan instruksi tapi kok kompakan. Purbaya: Deposito Valas 4% Bukan Instruksi Pemerintah! https://t.co/nBUtADP6s4,1971538573964046715,,,in,,0,0,0,https://x.com/undefined/status/1971538573964046715,6689892,,wkwkkw cuci tangan bukan instruksi tapi kok kompakan purbaya deposito valas bukan instruksi pemerintah,wkwkkw cuci tangan bukan instruksi tapi kok kompakan purbaya deposito valas bukan instruksi pemerintah
1971537987684245516,Fri Sep 26 11:31:00 +0000 2025,1,Bonus 10.000 saldo kalaau install apk Shopeepay Caranya : Upgrade ke Spay plus log in dg akun shopee &amp; masukkan kode referral FF6JWV5WP diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump https://t.co/jrJWpyIRFp https://t.co/4bQXodM4f0,1971537987684245516,https://pbs.twimg.com/media/G1xCFoBbQAAetY0.jpg,,in,,0,0,0,https://x.com/undefined/status/1971537987684245516,1884735513976004608,,bonus saldo kalaau install apk shopeepay caranya upgrade ke spay plus log in dg akun shopee amp masukkan kode referral ffjwvwp diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump,bonus saldo kalaau install apk shopeepay caranya upgrade spay plus log dengan akun shopee amp masukkan kode referral ffjwvwp diskon promo info freelance job receh zonauang tasya farasya prabowo gibran jokowi purbaya erick thohir bahlil trump
1971537104611274818,Fri Sep 26 11:27:29 +0000 2025,119,Menteri Keuangan Purbaya Yudhi Sadewa memutuskan tidak akan mengubah tarif cukai hasil tembakau (CHT) untuk tahun 2026 setelah menerima berbagai masukan dari pelaku industri rokok. Menurutnya para pelaku usaha menilai tarif saat ini sudah cukup dan tidak perlu diubah. Tapi https://t.co/F7Tgcs01p4,1971537104611274818,https://pbs.twimg.com/media/G1xOi7pbMAEHzvJ.jpg,,in,,3,19,28,https://x.com/undefined/status/1971537104611274818,759692754985242625,,menteri keuangan purbaya yudhi sadewa memutuskan tidak akan mengubah tarif cukai hasil tembakau cht untuk tahun setelah menerima berbagai masukan dari pelaku industri rokok menurutnya para pelaku usaha menilai tarif saat ini sudah cukup dan tidak perlu diubah tapi,menteri keuangan purbaya yudhi sadewa memutuskan tidak akan mengubah tarif cukai hasil tembakau cht untuk tahun setelah menerima berbagai masukan dari pelaku industri rokok menurutnya para pelaku usaha menilai tarif saat ini sudah cukup dan tidak perlu diubah tapi
