id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count,full_text_no_hashtag
1972670576981332091,Mon Sep 29 14:31:30 +0000 2025,Menkeu Purbaya Yudhi Sadewa melakukan sidak ke kantor pusat BNI untuk mengecek penggunaan dana sisa anggaran Rp200 triliun yang ditempatkan di bank Himbara di mana BNI mendapat porsi Rp55 triliun. Ia menilai BNI telah menyalurkan dana dengan baik untuk kredit yang ditargetkan https://t.co/jxDzEXNlIV,menkeu purbaya yudhi sadewa melakukan sidak kantor pusat bni untuk mengecek penggunaan dana sisa anggaran triliun yang ditempatkan bank himbara mana bni mendapat porsi triliun menilai bni telah menyalurkan dana dengan baik untuk kredit yang ditargetkan,28,4,7,Menkeu Purbaya Yudhi Sadewa melakukan sidak ke kantor pusat BNI untuk mengecek penggunaan dana sisa anggaran Rp200 triliun yang ditempatkan di bank Himbara di mana BNI mendapat porsi Rp55 triliun. Ia menilai BNI telah menyalurkan dana dengan baik untuk kredit yang ditargetkan https://t.co/jxDzEXNlIV
1972668382110433779,Mon Sep 29 14:22:47 +0000 2025,@Franken_blues Bukannya purbaya ini diduga kader PDIP?,bukannya purbaya ini diduga kader pdip,1,1,0,@Franken_blues Bukannya purbaya ini diduga kader PDIP?
1972662975375769967,Mon Sep 29 14:01:18 +0000 2025,Berikut adalah capture dari salary crediting (Gaji guru TPG sertifikasi) . katanya bagi penghasilan yg dibawah 10 juta mau dibebaskan dari pajak penghasilan. Koq masih tetap di potong ya gimana ini bapak menteri Purbaya ? https://t.co/NgiBmB4yXO,berikut adalah capture dari salary crediting gaji guru tpg seifikasi katanya bagi penghasilan yang dibawah juta mau dibebaskan dari pajak penghasilan koq masih tetap potong gimana ini bapak menteri purbaya,0,1,0,Berikut adalah capture dari salary crediting (Gaji guru TPG sertifikasi) . katanya bagi penghasilan yg dibawah 10 juta mau dibebaskan dari pajak penghasilan. Koq masih tetap di potong ya gimana ini bapak menteri Purbaya ? https://t.co/NgiBmB4yXO
1972662656499581170,Mon Sep 29 14:00:02 +0000 2025,Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa melakukan inspeksi mendadak ke salah satu kantor pusat bank pemerintah pada Senin pagi. Kunjungan mendadak ini bertujuan untuk memantau langsung kinerja bank milik negara tersebut. Menkeu Purbaya tiba di kantor pusat bank pemerintah https://t.co/2eUzYkfBon,menteri keuangan menkeu purbaya yudhi sadewa melakukan inspeksi mendadak salah satu kantor pusat bank pemerintah pada senin pagi kunjungan mendadak ini beujuan untuk memantau langsung kinerja bank milik negara tersebut menkeu purbaya tiba kantor pusat bank pemerintah,11,4,1,Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa melakukan inspeksi mendadak ke salah satu kantor pusat bank pemerintah pada Senin pagi. Kunjungan mendadak ini bertujuan untuk memantau langsung kinerja bank milik negara tersebut. Menkeu Purbaya tiba di kantor pusat bank pemerintah https://t.co/2eUzYkfBon
1972660641438572822,Mon Sep 29 13:52:01 +0000 2025,Prabowo Terkesan Purbaya-AHY Lulusan S3: Kalau Enggak Bisa Perbaiki Sistem Kelewatan! https://t.co/XoMOSabxnV,prabowo terkesan purbayaahy lulusan kalau enggak bisa perbaiki sistem kelewatan,83,70,17,Prabowo Terkesan Purbaya-AHY Lulusan S3: Kalau Enggak Bisa Perbaiki Sistem Kelewatan! https://t.co/XoMOSabxnV
1972658904682353018,Mon Sep 29 13:45:07 +0000 2025,@profesor_saham prof masa pas kunjungan berkedok sidak ke bbni tadi lord purbaya godain bu Xandra ckck,prof masa pas kunjungan berkedok sidak bbni tadi lord purbaya godain xandra ckck,27,2,1,@profesor_saham prof masa pas kunjungan berkedok sidak ke bbni tadi lord purbaya godain bu Xandra ckck
1972657866818417142,Mon Sep 29 13:41:00 +0000 2025,Klaim 10.000 saldo pas download apk Shopeepay caranya: Upgrade ke Shopeepay plus log in pake akun shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya megawati https://t.co/cziHHCFI5H https://t.co/YLZMg7cAC7,klaim saldo pas download apk shopeepay caranya upgrade shopeepay plus log pake akun shopee amp masukin kode referral ffjwvwp diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya megawati,0,0,0,Klaim 10.000 saldo pas download apk Shopeepay caranya: Upgrade ke Shopeepay plus log in pake akun shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya megawati https://t.co/cziHHCFI5H https://t.co/YLZMg7cAC7
1972654508204499019,Mon Sep 29 13:27:39 +0000 2025,Menkeu Purbaya sowan ke mantan Presiden Jokowi sinyal bahwa ekonomi era Prabowo butuh legitimasi publik. Dukungan figur senior menciptakan stabilitas dan kepercayaan modal yg tak bisa diukur dengan grafik apapun https://t.co/liwkh43xB3,menkeu purbaya sowan mantan presiden jokowi sinyal bahwa ekonomi era prabowo butuh legitimasi publik dukungan figur senior menciptakan stabilitas dan kepercayaan modal yang tak bisa diukur dengan grafik apapun,3,0,0,Menkeu Purbaya sowan ke mantan Presiden Jokowi sinyal bahwa ekonomi era Prabowo butuh legitimasi publik. Dukungan figur senior menciptakan stabilitas dan kepercayaan modal yg tak bisa diukur dengan grafik apapun https://t.co/liwkh43xB3
1972653982679236950,Mon Sep 29 13:25:34 +0000 2025,Menteri Keuangan Purbaya Yudhi Sadewa memastikan cukai rokok tidak naik 2026 dukung pemulihan industri rokok. https://t.co/TjZZR7rLWT,menteri keuangan purbaya yudhi sadewa memastikan cukai rokok tidak naik dukung pemulihan industri rokok,0,0,0,Menteri Keuangan Purbaya Yudhi Sadewa memastikan cukai rokok tidak naik 2026 dukung pemulihan industri rokok. https://t.co/TjZZR7rLWT
1972653698313834895,Mon Sep 29 13:24:26 +0000 2025,Awas! Kebijakan Cukai Rokok Purbaya Bisa Berubah Jadi Jebakan Fiskal #MenkeuPurbaya #IndustriRokok https://t.co/wUndjVkTAt,awas kebijakan cukai rokok purbaya bisa berubah jadi jebakan fiskal,0,0,0,Awas! Kebijakan Cukai Rokok Purbaya Bisa Berubah Jadi Jebakan Fiskal   https://t.co/wUndjVkTAt
