id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count
1977246067554148649,Sun Oct 12 05:32:52 +0000 2025,@PANXYZZZ @harjobaskoro @masjalah Luhut Binsar Pandjaitan terlibat karena sebagai Menko Marves ia memimpin negosiasi proyek Kereta Cepat Whoosh dengan China sejak 2015. Ia juga dorong perpanjangan ke Surabaya di 2025 meski ada isu utang 116 T yang ditolak dibayar via APBN oleh Menkeu Purbaya. Kartun itu,luhut binsar pandjaitan terlibat karena sebagai menko marves memimpin negosiasi proyek kereta cepat whoosh dengan china sejak juga dorong perpanjangan surabaya meski ada isu utang yang ditolak dibayar via apbn oleh menkeu purbaya kaun itu,1,0,0
1977245506037596504,Sun Oct 12 05:30:38 +0000 2025,shm! Jujur gak nyangka banyak penjual di pasar tradisional ngelayanin pembeli sambil nonton vid toktik PURBAYA jir. Kejadiannya hari ini. Padahal di desa loh. Gilee,shm jujur tidak nyangka banyak penjual pasar tradisional ngelayanin pembeli sambil nonton vid toktik purbaya jir kejadiannya hari ini padahal desa loh gilee,300,9,16
1977245504414388363,Sun Oct 12 05:30:38 +0000 2025,Narasinya harusnya begini Purbaya diserang orang Tolol ,narasinya harusnya begini purbaya diserang orang tolol,0,0,0
1977245385015115953,Sun Oct 12 05:30:09 +0000 2025,@NDA_2406 @KompasTV Menkeu Purbaya Yudhi Sadewa menyatakan belum menerima proposal biaya perbaikan Ponpes Al-Khoziny di Buduran. Ia belum mengetahui usulan tersebut maupun siapa yang mengajukannya. Purbaya akan menunggu dan meninjau isi proposal terlebih dahulu sebelum memutuskan apakah APBN bisa,menkeu purbaya yudhi sadewa menyatakan belum menerima proposal biaya perbaikan ponpes alkhoziny buduran belum mengetahui usulan tersebut maupun siapa yang mengajukannya purbaya akan menunggu dan meninjau isi proposal terlebih dahulu sebelum memutuskan apakah apbn bisa,0,0,0
1977245357911556283,Sun Oct 12 05:30:03 +0000 2025,Tolak Permintaan Danantara Menkeu Pastikan Pemerintah Tak Tanggung Utang Kereta Cepat Jangan kalau yang enak swasta kalau enggak enak dibagi ke pemerintah kata Menteri Keuangan Purbaya Yudhi Sadewa https://t.co/o3b5OsMhaR,tolak permintaan danantara menkeu pastikan pemerintah tak tanggung utang kereta cepat jangan kalau yang enak swasta kalau enggak enak dibagi pemerintah kata menteri keuangan purbaya yudhi sadewa,0,0,0
1977245344514949384,Sun Oct 12 05:30:00 +0000 2025,Menkeu Purbaya Yudhi Sadewa berencana membubarkan Satuan Tugas Bantuan Likuiditas Bank Indonesia (Satgas BLBI) yang selama ini bekerja untuk menarik piutang obligor BLBI. Menurutnya hasil yang didapat Satgas BLBI tak terlalu banyak padahal masa kerjanya sudah lama. Menkeu Namun https://t.co/dvmih3usG7,menkeu purbaya yudhi sadewa berencana membubarkan satuan tugas bantuan likuiditas bank indonesia satgas blbi yang selama ini bekerja untuk menarik piutang obligor blbi menurutnya hasil yang didapat satgas blbi tak terlalu banyak padahal masa kerjanya sudah lama menkeu namun,100,9,29
1977245325908967834,Sun Oct 12 05:29:55 +0000 2025,@sharpandshark Setuju saya dgn statement pak Menkeu Purbaya siapa yg korupsi itu dana² dia lah yg hrs bertanggungjawab....masa dia enak korupsi makan minum jalan² semuanya enak terus rakyat yg disuruh bayar wadidauw,setuju saya dengan statement pak menkeu purbaya siapa yang korupsi itu dana dia lah yang hrs beanggungjawabmasa dia enak korupsi makan minum jalan semuanya enak terus rakyat yang disuruh bayar wadidauw,0,0,0
1977245116198011354,Sun Oct 12 05:29:05 +0000 2025,@faroq_abusiri @Gank_Of_Petojo Swasembada hutang luar negeri sebenarnya Mimin kecewa dengan kebijakan menteri Purbaya yang menetapkan beban hutang KCIC ditanggung oleh PT.KAI. Seharusnya beban itu ditanggung oleh Jokowi dan pendukungnya. ,swasembada hutang luar negeri sebenarnya mimin kecewa dengan kebijakan menteri purbaya yang menetapkan beban hutang kcic ditanggung oleh ptkai seharusnya beban itu ditanggung oleh jokowi dan pendukungnya,1,1,0
1977244589779214503,Sun Oct 12 05:27:00 +0000 2025,Dibandingkan Era Jokowi Purbaya Blak-blakan Era SBY Rakyat Makmur meski Tak Banyak Infrastruktur Pernyataan Menteri Keuangan Purbaya Yudhi Sadewa viral di media sosial. Pasalnya Purbaya menyebut ekonomi era Susilo Bambang Yudhoyono (SBY) lebih makmur dibandingkan era Joko https://t.co/W8rtGuDsZQ,dibandingkan era jokowi purbaya blakblakan era sby rakyat makmur meski tak banyak infrastruktur pernyataan menteri keuangan purbaya yudhi sadewa viral media sosial pasalnya purbaya menyebut ekonomi era susilo bambang yudhoyono sby lebih makmur dibandingkan era joko,126,21,35
1977244514688680372,Sun Oct 12 05:26:42 +0000 2025,Tolak Permintaan Danantara Menkeu Pastikan Pemerintah Tak Tanggung Utang Kereta Cepat Jangan kalau yang enak swasta kalau enggak enak dibagi ke pemerintah kata Menteri Keuangan Purbaya Yudhi Sadewa https://t.co/NqmiCvb2rb,tolak permintaan danantara menkeu pastikan pemerintah tak tanggung utang kereta cepat jangan kalau yang enak swasta kalau enggak enak dibagi pemerintah kata menteri keuangan purbaya yudhi sadewa,0,0,0
